Country,Month,track_name,artist_names,Total_Streams
SE,2023-12,A Holly Jolly Christmas,Burl Ives,1136379
SE,2023-12,Aktiv,"Asme, Owen",958768
SE,2023-12,All I Want for Christmas Is You,Mariah Carey,5870322
SE,2023-12,Andas in andas ut,Thomas Stenström,910792
SE,2024-01,031.,Victor Leksell,156426
SE,2024-01,17,"ADAAM, Pablo Paz, takenoelz",651536
SE,2024-01,17 år,Veronica Maggio,661175
SE,2024-01,51 - Freestyle,Sarettii,317966
SE,2024-01,9 to 5,Dolly Parton,173161
SE,2024-02,17,"ADAAM, Pablo Paz, takenoelz",590219
SE,2024-02,17 år,Veronica Maggio,818835
SE,2024-02,1942,Ant Wan,745893
SE,2024-02,30 KM/H,Lia Larsson,800855
SE,2024-02,30 under 30,Hov1,1714595
SE,2024-03,17,"ADAAM, Pablo Paz, takenoelz",491436
SE,2024-03,17 år,Veronica Maggio,727653
SE,2024-03,30 KM/H,Lia Larsson,3406922
SE,2024-03,30 under 30,Hov1,1074915
SE,2024-03,AMIGA,Jireel,384474
SE,2024-04,16 CARRIAGES,Beyoncé,151995
SE,2024-04,17,"ADAAM, Pablo Paz, takenoelz",294283
SE,2024-04,17 år,Veronica Maggio,880181
SE,2024-04,30 KM/H,Lia Larsson,1493874
SE,2024-04,30 under 30,Hov1,478069
SE,2024-05,(nendest) narkootikumidest ei tea me (küll) midagi,"5MIINUST, Puuluup",208468
SE,2024-05,...Ready For It?,Taylor Swift,198191
SE,2024-05,17,"ADAAM, Pablo Paz, takenoelz",316764
SE,2024-05,17 år,Veronica Maggio,1833570
SE,2024-05,2LURAR,Greekazo,170818
SE,2024-06,17 år,Veronica Maggio,1645709
SE,2024-06,30 KM/H,Lia Larsson,174630
SE,2024-06,360 featuring robyn & yung lean,"Charli xcx, Robyn, Yung Lean",172929
SE,2024-06,A Bar Song (Tipsy),Shaboozey,5195170
SE,2024-06,Africa,TOTO,178118
SE,2024-07,(Sittin' On) the Dock of the Bay,Otis Redding,502373
SE,2024-07,17 år,Veronica Maggio,1198545
SE,2024-07,30 KM/H,Lia Larsson,319735
SE,2024-07,A Bar Song (Tipsy),Shaboozey,4114850
SE,2024-07,Africa,TOTO,508751
SE,2024-08,(Sittin' On) the Dock of the Bay,Otis Redding,189000
SE,2024-08,17 år,Veronica Maggio,869933
SE,2024-08,A Bar Song (Tipsy),Shaboozey,3375708
SE,2024-08,A Sky Full of Stars,Coldplay,432985
SE,2024-08,ANTISOCIAL,"Sticky, VC Barre, 01an",181769
SE,2024-09,17 år,Veronica Maggio,724394
SE,2024-09,A Bar Song (Tipsy),Shaboozey,2791475
SE,2024-09,ALL RED,Playboi Carti,166153
SE,2024-09,AV MED OSS,HAVAL,618763
SE,2024-09,Acceptera,Sickan,546999
SE,2024-10,..and so it begins,Benjamin Ingrosso,180837
SE,2024-10,17 år,Veronica Maggio,801760
SE,2024-10,1942,Ant Wan,196461
SE,2024-10,A Bar Song (Tipsy),Shaboozey,2762874
SE,2024-10,A Lot More Free,Max McNown,477824
SE,2024-11,(Sittin' On) the Dock of the Bay,Otis Redding,677190
SE,2024-11,2 hands,Tate McRae,468375
SE,2024-11,433,Malik Dalasi,314959
SE,2024-11,A Bar Song (Tipsy),Shaboozey,1783333
SE,2024-11,A Lot More Free,Max McNown,614314
SE,2024-12,433,Malik Dalasi,178639
SE,2024-12,A Bar Song (Tipsy),Shaboozey,860054
SE,2024-12,A Christmas Song,Björnzone,1333114
SE,2024-12,A Holly Jolly Christmas,Burl Ives,431585
SE,2024-12,APT.,"ROSÉ, Bruno Mars",1101840
TH,2023-06,17,Dept,1071648
TH,2023-06,All About That Day,Nene鄭乃馨,430037
TH,2023-06,All Eyes On Me,JISOO,634303
TH,2023-06,All Of The Girls You Loved Before,Taylor Swift,409278
TH,2023-06,Angel Baby,Troye Sivan,134514
TH,2023-07,17,Dept,1526084
TH,2023-07,ASAP,NewJeans,485198
TH,2023-07,All Eyes On Me,JISOO,639438
TH,2023-07,Angel Baby,Troye Sivan,142411
TH,2023-07,"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Jimin, JVKE, Muni Long, Fast & Furious: The Fast Saga",472785
TH,2023-08,17,Dept,1768772
TH,2023-08,2 faces,Mark Tuan,305729
TH,2023-08,ASAP,NewJeans,610868
TH,2023-08,All Eyes On Me,JISOO,609539
TH,2023-08,Are You out yet ?,Anatomy Rabbit,147540
TH,2023-09,17,Dept,1356496
TH,2023-09,ALICE,QLER,288113
TH,2023-09,All Eyes On Me,JISOO,297551
TH,2023-09,Are You out yet ?,Anatomy Rabbit,142200
TH,2023-09,B.O.M.B,TREASURE,166470
TH,2023-10,17,Dept,1031014
TH,2023-10,3D (feat. Jack Harlow),"Jung Kook, Jack Harlow",18986806
TH,2023-10,ALICE,QLER,138647
TH,2023-10,Agora Hills,Doja Cat,198295
TH,2023-10,All Eyes On Me,JISOO,728761
TH,2023-11,"""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift,189037
TH,2023-11,17,Dept,1110847
TH,2023-11,"24/7, 365",elijah woods,455067
TH,2023-11,3D (feat. Jack Harlow),"Jung Kook, Jack Harlow",6988015
TH,2023-11,ALICE,QLER,819358
TH,2023-12,17,Dept,358121
TH,2023-12,"24/7, 365",elijah woods,483939
TH,2023-12,3D (feat. Jack Harlow),"Jung Kook, Jack Harlow",4427913
TH,2023-12,ALICE,QLER,808362
TH,2023-12,Abyss,Jin,201851
TH,2024-01,17,Dept,694413
TH,2024-01,3D (feat. Jack Harlow),"Jung Kook, Jack Harlow",4311845
TH,2024-01,ALICE,QLER,991814
TH,2024-01,Agora Hills,Doja Cat,1039076
TH,2024-01,April,Only Monday,306890
TH,2024-02,17,Dept,916111
TH,2024-02,3D (feat. Jack Harlow),"Jung Kook, Jack Harlow",4639151
TH,2024-02,9 นาฬิกา,SPF,768569
TH,2024-02,ALICE,QLER,1256269
TH,2024-02,Abyss,Jin,606555
TH,2024-03,17,Dept,641947
TH,2024-03,3D (feat. Jack Harlow),"Jung Kook, Jack Harlow",3534932
TH,2024-03,9 นาฬิกา,SPF,1251964
TH,2024-03,ALICE,QLER,746846
TH,2024-03,Abyss,Jin,517700
TH,2024-04,17,Dept,308691
TH,2024-04,3D (feat. Jack Harlow),"Jung Kook, Jack Harlow",4338997
TH,2024-04,9 นาฬิกา,SPF,1405997
TH,2024-04,ALICE,QLER,340858
TH,2024-04,Abyss,Jin,927948
TH,2024-05,200,MARK,483086
TH,2024-05,3D (feat. Jack Harlow),"Jung Kook, Jack Harlow",3110043
TH,2024-05,9 นาฬิกา,SPF,2085439
TH,2024-05,April,Only Monday,325338
TH,2024-05,Armageddon,aespa,916508
TH,2024-06,3D (feat. Jack Harlow),"Jung Kook, Jack Harlow",3267745
TH,2024-06,9 นาฬิกา,SPF,1665067
TH,2024-06,Armageddon,aespa,3354726
TH,2024-06,As It Was,Harry Styles,199007
TH,2024-06,BIRDS OF A FEATHER,Billie Eilish,1858131
TH,2024-07,3D (feat. Jack Harlow),"Jung Kook, Jack Harlow",3006798
TH,2024-07,9 นาฬิกา,SPF,1560640
TH,2024-07,ABCD,NAYEON,189485
TH,2024-07,Armageddon,aespa,1382928
TH,2024-07,As It Was,Harry Styles,189698
TH,2024-08,17,DOYOUNG,233142
TH,2024-08,28 (feat. NiiHWA),"Agust D, NiiHWA",230591
TH,2024-08,3D (feat. Jack Harlow),"Jung Kook, Jack Harlow",3322550
TH,2024-08,9 นาฬิกา,SPF,1819204
TH,2024-08,Are You out yet ?,Anatomy Rabbit,1061368
TH,2024-09,28 (feat. NiiHWA),"Agust D, NiiHWA",365627
TH,2024-09,3D (feat. Jack Harlow),"Jung Kook, Jack Harlow",2552255
TH,2024-09,9 นาฬิกา,SPF,1458983
TH,2024-09,Are You out yet ?,Anatomy Rabbit,622597
TH,2024-09,Armageddon,aespa,463944
TH,2024-10,3D (feat. Jack Harlow),"Jung Kook, Jack Harlow",3834369
TH,2024-10,9 นาฬิกา,SPF,1698836
TH,2024-10,APT.,"ROSÉ, Bruno Mars",4972894
TH,2024-10,Armageddon,aespa,814876
TH,2024-10,BF,"PUN, URBOYTJ",1707542
TH,2024-11,2AM (คุณเคยรักใครมากๆมั้ย?),"Saran, BlackHeart, Rifle",455274
TH,2024-11,3D (feat. Jack Harlow),"Jung Kook, Jack Harlow",3453396
TH,2024-11,9 นาฬิกา,SPF,1506989
TH,2024-11,APT.,"ROSÉ, Bruno Mars",5822191
TH,2024-11,BF,"PUN, URBOYTJ",1011054
TH,2024-12,2AM (คุณเคยรักใครมากๆมั้ย?),"Saran, BlackHeart, Rifle",707247
TH,2024-12,3D (feat. Jack Harlow),"Jung Kook, Jack Harlow",2424998
TH,2024-12,3am,ROSÉ,273678
TH,2024-12,9 นาฬิกา,SPF,722342
