Country,artist_names,streams
AU,"Ice Spice, Nicki Minaj",640097
AU,"Lil Durk, Morgan Wallen",635433
AU,Playboi Carti,630959
AU,The Temper Trap,630953
AU,Amy Shark,630281
AU,Britney Spears,630002
AU,SUICIDAL-IDOL,620519
AU,"Eartha Kitt, Henri René and His Orchestra",608593
AU,Donny Hathaway,607361
AU,"Kendrick Lamar, AzChike",600955
AU,"Metro Boomin, Future, Chris Brown",591969
AU,"Bing Crosby, The Andrews Sisters",588737
AU,"Taylor Swift, Hayley Williams",587501
AU,NLE Choppa,586889
AU,"Eminem, Skylar Grey",577621
AU,"Taylor Swift, Fall Out Boy",571045
AU,Wizzard,569527
AU,"Idina Menzel, Michael Bublé",563145
AU,"Drake, Travis Scott",561629
AU,"Drake, PARTYNEXTDOOR",560615
AU,"Travis Scott, Young Thug",545093
AU,"Coolio, L.V.",544904
AU,Stevie Wonder,537930
AU,"Travis Scott, The Weeknd, Swae Lee",532652
AU,Bing Crosby,531197
AU,"Eminem, Dem Jointz, Sly Pyper",527015
AU,Pentatonix,520303
AU,"Drake, Bad Bunny",514422
AU,"Brett Eldredge, Meghan Trainor",508012
AU,"Kendrick Lamar, Hitta J3, YoungThreat, Peysoh",488890
AU,Paul Kelly,488145
AU,"Ariana Grande, Nonna",483300
AU,"Taylor Swift, Kendrick Lamar",474172
AU,"Charli xcx, Lorde",466643
AU,"Eminem, Ez Mil",453345
AU,"Travis Scott, Kid Cudi",449621
AU,"Drake, Lil Yachty",448372
AU,"Travis Scott, Westside Gunn",447917
AU,Leona Lewis,439596
AU,"Drake, Chief Keef",439145
AU,"Post Malone, Tim McGraw",434981
AU,"Beyoncé, Post Malone",434063
AU,"Ariana Grande, Liz Gillies",433173
AU,Vince Guaraldi Trio,423462
AU,"Beyoncé, Tanner Adell, Brittney Spencer, Tiera Kennedy, Reyna Roberts",421718
AU,"Sleepy Hallow, Doechii",417805
AU,"J. Cole, Bas, Central Cee",417777
AU,LISA,408720
AU,"Zach Bryan, The Lumineers",400396
AU,Bring Me The Horizon,392964
AU,"Liam Payne, Quavo",390392
AU,"Michael Bublé, Shania Twain",390066
AU,"Noah Kahan, Sam Fender",389234
AU,"Travis Scott, Yung Lean, Dave Chappelle",383383
AU,Pharrell Williams,380026
AU,"Noah Kahan, Hozier",379635
AU,PinkPantheress,378957
AU,"Drake, Young Thug, 21 Savage",378541
AU,The Doobie Brothers,376738
AU,Stray Kids,376346
AU,"The Chainsmokers, Halsey",373020
AU,Gene Autry,370292
AU,"Post Malone, Chris Stapleton",369048
AU,Backstreet Boys,368668
AU,"ZAYN, Taylor Swift",365565
AU,Tony Bennett,363250
AU,Run–D.M.C.,357892
