Month,track_name,artist_names,streams
2024-04,greedy,Tate McRae,41127986
2024-04,i like the way you kiss me,Artemas,41023993
2024-04,TEXAS HOLD 'EM,Beyoncé,35830644
2024-04,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",33819551
2024-04,Too Sweet,Hozier,33148101
2024-04,I Wanna Be Yours,Arctic Monkeys,30923120
2024-05,Beautiful Things,Benson Boone,76668840
2024-05,Espresso,Sabrina Carpenter,72784274
2024-05,Fortnight (feat. Post Malone),"Taylor Swift, Post Malone",57371399
2024-05,i like the way you kiss me,Artemas,53374960
2024-05,Lose Control,Teddy Swims,51346353
2024-05,Too Sweet,Hozier,46331114
2024-05,we can't be friends (wait for your love),Ariana Grande,46273794
2024-05,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",42046565
2024-05,End of Beginning,Djo,41121312
2024-05,Belong Together,Mark Ambor,38570617
2024-06,Espresso,Sabrina Carpenter,68370508
2024-06,Beautiful Things,Benson Boone,56773348
2024-06,BIRDS OF A FEATHER,Billie Eilish,51111600
2024-06,i like the way you kiss me,Artemas,43001097
2024-06,LUNCH,Billie Eilish,42944374
2024-06,MILLION DOLLAR BABY,Tommy Richman,41235745
2024-06,Gata Only,"FloyyMenor, Cris Mj",36819705
2024-06,Lose Control,Teddy Swims,36473864
2024-06,Too Sweet,Hozier,36429917
2024-06,CHIHIRO,Billie Eilish,35808602
2024-07,Espresso,Sabrina Carpenter,62247226
2024-07,BIRDS OF A FEATHER,Billie Eilish,52469507
2024-07,Beautiful Things,Benson Boone,49538454
2024-07,Please Please Please,Sabrina Carpenter,46859938
2024-07,Too Sweet,Hozier,38244230
2024-07,Not Like Us,Kendrick Lamar,35498132
2024-07,Gata Only,"FloyyMenor, Cris Mj",33934019
2024-07,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",32967853
2024-07,Lose Control,Teddy Swims,32776810
2024-07,MILLION DOLLAR BABY,Tommy Richman,32521156
2024-08,Espresso,Sabrina Carpenter,72484442
2024-08,Please Please Please,Sabrina Carpenter,59152571
2024-08,BIRDS OF A FEATHER,Billie Eilish,58075848
2024-08,Bye Bye Bye - From Deadpool and Wolverine Soundtrack,*NSYNC,53442706
2024-08,Who,Jimin,52489500
2024-08,Beautiful Things,Benson Boone,49070428
2024-08,Alibi (with Pabllo Vittar & Yseult),"Sevdaliza, Pabllo Vittar, Yseult",45743404
2024-08,Too Sweet,Hozier,40489298
2024-08,Lose Control,Teddy Swims,39064366
2024-08,A Bar Song (Tipsy),Shaboozey,37226286
2024-09,BIRDS OF A FEATHER,Billie Eilish,63747959
2024-09,Who,Jimin,60087863
2024-09,Espresso,Sabrina Carpenter,60081378
2024-09,Die With A Smile,"Lady Gaga, Bruno Mars",46431276
2024-09,Taste,Sabrina Carpenter,42723785
2024-09,Please Please Please,Sabrina Carpenter,41601283
2024-09,Beautiful Things,Benson Boone,37266401
2024-09,Gata Only,"FloyyMenor, Cris Mj",36300619
2024-09,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",33052377
2024-09,I Wanna Be Yours,Arctic Monkeys,32604330
2024-10,BIRDS OF A FEATHER,Billie Eilish,78802689
2024-10,Die With A Smile,"Lady Gaga, Bruno Mars",67846107
2024-10,Espresso,Sabrina Carpenter,62592207
2024-10,Who,Jimin,60016507
2024-10,Beautiful Things,Benson Boone,42018286
2024-10,I Wanna Be Yours,Arctic Monkeys,39829464
2024-10,APT.,"ROSÉ, Bruno Mars",38373581
2024-10,Taste,Sabrina Carpenter,37333963
2024-10,"Good Luck, Babe!",Chappell Roan,35911292
2024-10,Lose Control,Teddy Swims,34962250
2024-11,APT.,"ROSÉ, Bruno Mars",71345419
2024-11,Die With A Smile,"Lady Gaga, Bruno Mars",57281882
2024-11,BIRDS OF A FEATHER,Billie Eilish,56867159
2024-11,Who,Jimin,45280766
2024-11,Espresso,Sabrina Carpenter,36428036
2024-11,Taste,Sabrina Carpenter,34847706
2024-11,I Wanna Be Yours,Arctic Monkeys,32825302
2024-11,Beautiful Things,Benson Boone,32008563
2024-11,Locked out of Heaven,Bruno Mars,30445274
2024-11,The Emptiness Machine,Linkin Park,29992505
2024-12,APT.,"ROSÉ, Bruno Mars",35007481
2024-12,BIRDS OF A FEATHER,Billie Eilish,25485734
2024-12,Who,Jimin,24405850
2024-12,Die With A Smile,"Lady Gaga, Bruno Mars",23918826
2024-12,Ma Meilleure Ennemie (from the series Arcane League of Legends),"Arcane, Stromae, Pomme",19307901
2024-12,Espresso,Sabrina Carpenter,18133707
2024-12,Beautiful Things,Benson Boone,15855358
2024-12,That’s So True,Gracie Abrams,14094953
2024-12,The Emptiness Machine,Linkin Park,13495244
2024-12,I Wanna Be Yours,Arctic Monkeys,13385277
