rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,Country,Date
197,spotify:track:0iB5f04XdJ2tcfhoVkeLV8,"Alok, Mondello'G, CERES, Tribbs",LET'S GET FKD UP,Columbia/B1 Recordings,5,182,44,503345,DE,2024-10-10
198,spotify:track:6Obb1FCQLZrVRvzXWdgDma,Bibi und Tina,Bibi und Tina Lied,Kiddinx/WM Germany,140,-1,25,502390,DE,2024-10-10
199,spotify:track:6xLxMr7gbDdz7VWSx0IBt7,"Jazeek, Milano",Do you lie,NINETYNINE MUSIC x Good Kid Records x Ventura Records,5,181,24,501971,DE,2024-10-10
200,spotify:track:1JSTJqkT5qHq8MDJnJbRE1,The Police,Every Breath You Take,Polydor Records,186,-1,4,501911,DE,2024-10-10
1,spotify:track:2PnlsTsOTLE5jnBnNe2K0A,Linkin Park,The Emptiness Machine,Warner Records,1,2,8,3289441,DE,2024-10-31
2,spotify:track:2byoNXF9Y6qhIGBq33ATEm,"Shirin David, Sampagne",it girl (feat. Sampagne),Juicy Money Records,2,-1,1,3106917,DE,2024-10-31
3,spotify:track:3SYHVGpbPQ8sPCRosoA9Wy,LACAZETTE,HDL,LACAZETTE,1,1,2,2386544,DE,2024-10-31
4,spotify:track:5U8jvRKKzcc3XjBB2CNZaZ,LACAZETTE,LID,LACAZETTE,2,3,5,2383242,DE,2024-10-31
5,spotify:track:64f3yNXsi2Vk76odcHCOnw,Shirin David,bauch beine po,Juicy Money Records,1,5,14,2298329,DE,2024-10-31
6,spotify:track:77p59nG1oU5pzd20rPxBwC,"Jazeek, Luciano, Miksu / Macloud",PLAYBOYBUNNIES,NINETYNINE MUSIC x Good Kid Records x Ventura Records,3,4,4,2234517,DE,2024-10-31
7,spotify:track:3bVyVZX4GQQujlNefSP5fp,Bonez MC,früher sterben,187 Strassenbande,7,-1,1,2089931,DE,2024-10-31
8,spotify:track:3fgehc497TFqKH1zBL2YNK,Linkin Park,Heavy Is the Crown,Warner Records,3,6,6,2014276,DE,2024-10-31
9,spotify:track:1moKZKZydvCRie5SQ8wlis,"Ufo361, Nina Chuba",LIEBE (feat. Nina Chuba),Epic/Stay High,9,-1,1,1952895,DE,2024-10-31
10,spotify:track:5vNRhkKd0yEAg8suGBpjeY,"ROSÉ, Bruno Mars",APT.,"Atlantic Records, THEBLACKLABEL",9,9,2,1826819,DE,2024-10-31
11,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,8,11,11,1799290,DE,2024-10-31
12,spotify:track:4b3W0IbHDwHCvjSs708Tr4,"AYLIVA, Apache 207",Wunder,Whiteheart Records/WM Germany,1,8,27,1714267,DE,2024-10-31
13,spotify:track:7bkUa9kDFGxgCC7d36dzFI,Berq,Rote Flaggen,Urban,3,10,18,1700256,DE,2024-10-31
14,spotify:track:3t4IkHfT4eXZggkupi4SUe,Linkin Park,Over Each Other,Warner Records,14,-1,1,1698103,DE,2024-10-31
