rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,country,date
191,spotify:track:4Dl8bEzhAEGbcwkQawS1XG,"C. Tangana, ROSALÍA",Antes de Morirme (feat. ROSALÍA),Agorazein,23,179,213,448970,ES,18
192,spotify:track:2df5CkXBJO7jTGXm54dFJy,"Emilia, LUDMILLA, ZECCA",No_se_ve.mp3,2023 WK Records,14,187,57,447287,ES,18
193,spotify:track:2LsbizbOeNa4x6qsi2jAMb,Jarabe De Palo,La flaca,Parlophone Spain,58,184,33,447249,ES,18
194,spotify:track:609E1JCInJncactoMmkDon,"ROSALÍA, Rauw Alejandro",BESO,Columbia Records/Duars Entertainment/Sony Music Latin,1,198,62,445053,ES,18
195,spotify:track:067QpM2xLhK24hTiovC3Zo,C. Tangana,Mala Mujer,Sony Music Entertainment,3,186,69,444810,ES,18
196,spotify:track:0qd7ACCc9z2mlTYgPRcnUJ,"Bryant Myers, Cris Mj",Tuss,La Familia LF,196,-1,1,443780,ES,18
197,spotify:track:5xtxxuIqInrLDSfjA6Co3o,Bad Gyal,Fiebre (Prod. King DouDou),Bad Gyal,91,-1,59,443391,ES,18
198,spotify:track:7bp62Lo0nOBcfB70iUoibE,Melendi,Barbie de extrarradio,WM Spain,198,-1,1,442183,ES,18
199,spotify:track:6VciS3dRMpZhJiDxT8ArFi,"Bizarrap, Young Miko","Young Miko: Bzrp Music Sessions, Vol. 58",DALE PLAY Records,1,-1,25,442074,ES,18
200,spotify:track:7MmrcXVA7A5zZ2CbDuGHNa,Rels B,A Mí,DALE PLAY Records / Flakk Team,55,190,34,441786,ES,18
1,spotify:track:6WatFBLVB0x077xWeoVc2k,KAROL G,Si Antes Te Hubiera Conocido,Bichota/Interscope Records,1,1,5,7108185,ES,25
2,spotify:track:4sykJxUsqdXZRqRv1J9fEQ,"Omar Montes, JC Reyes",Goteras,Sony Music Latin,2,2,4,4720465,ES,25
3,spotify:track:5jFA0f4ZDGLbQP4nxzL8D4,Lomiiel,HAY LUPITA,Open Shift Distribution,3,9,9,4219742,ES,25
4,spotify:track:4gdpQ6zuDsePnD1YIDJCRw,"Isabel Aaiún, Fernando Moreno",Potra Salvaje - Hard Remix,Níquel Records,3,3,10,3878599,ES,25
5,spotify:track:1fTjqf10accJCDYstPwwZ6,Kapo,Ohnana,Sony Music Latin/La Industria,5,7,4,3762027,ES,25
6,spotify:track:1pymWRCuZfCd0zdiBJo0Hj,Trueno,REAL GANGSTA LOVE,Sony Music Latin,1,4,9,3248060,ES,25
7,spotify:track:06JM1fuKPQOrSL6s9mzDvV,Lola Indigo,LA REINA,Universal Music Spain S.L.,5,5,6,3160387,ES,25
8,spotify:track:57f0ili5EzdZlEaSKcEg8p,Diegote,Tu Silueta,DALE PLAY Records,8,13,2,3130877,ES,25
9,spotify:track:3ng8tfwvzR4BBwa9yaMms6,"SAIKO, JC Reyes, Dei V",BADGYAL,2024 SAIKONETA,1,6,13,2990289,ES,25
10,spotify:track:0LZy30mVmxqUpdQmaXKXBd,"Myke Towers, Bad Bunny",ADIVINO,WEA Latina,3,8,13,2568402,ES,25
