rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,Country,Date
58,spotify:track:1RkkjNnU8I4PDrzkZHECWf,"Tito Double P, Natanael Cano",PRIMO,2024 Double P Records,58,-1,1,2538279,MX,2024-07-11
59,spotify:track:0UXlu64mDLvfzR8IXMz06J,Christian Nodal,Ya No Somos Ni Seremos,"Producciones Ladon, S.A de C.V.",1,56,113,2502116,MX,2024-07-11
60,spotify:track:4bw8mcDUSRWfQo63ZTYRnU,"Maluma, Carin Leon",Según Quién,Sony Music Latin,6,55,47,2496377,MX,2024-07-11
61,spotify:track:3HgvO4B5LLmdPOT2d8cSZd,"LAGOS, Danny Ocean",Mónaco,WM Mexico,12,76,159,2490799,MX,2024-07-11
62,spotify:track:7iQXYTyuG13aoeHxGG28Nh,"Bad Bunny, Feid",PERRO NEGRO,Rimas Entertainment LLC,4,69,39,2470329,MX,2024-07-11
63,spotify:track:24teIhDYO2RocTA2v5dY0r,Junior H,Extssy Model,WEA Latina,37,66,91,2431614,MX,2024-07-11
64,spotify:track:3kx21xR6IboC9HVdajgBoc,Fuerza Regida,SABOR FRESA,Rancho Humilde/Street Mob Records,2,32,55,2417828,MX,2024-07-11
65,spotify:track:1OZpgVRQKkxcoeEocqTMRZ,Julión Álvarez y su Norteño Banda,Pongámonos De Acuerdo,UMLE - Fonovisa,27,67,96,2411868,MX,2024-07-11
66,spotify:track:7IJph8SanpysMOFmXQCJth,"El Malilla, Maury",Dime,El Malilla,21,63,13,2407307,MX,2024-07-11
67,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,58,75,8,2390405,MX,2024-07-11
68,spotify:track:7mXuWTczZNxG5EDcjFEuJR,"Peso Pluma, Gabito Ballesteros, Junior H",LADY GAGA,Double P Records,1,61,55,2359968,MX,2024-07-11
69,spotify:track:127UT7AiWflJwjXWUBBVTQ,Natanael Cano,O Me Voy O Te Vas,WEA Latina,12,59,39,2352156,MX,2024-07-11
70,spotify:track:2UW7JaomAMuX9pZrjVpHAU,"Yng Lvcas, Peso Pluma",La Bebe - Remix,WM Mexico,2,68,69,2336778,MX,2024-07-11
71,spotify:track:6Z0ybnsUBhbZ9ZjPW64eoF,Belanova,Rosa Pastel,Universal Music Mexico,22,57,86,2312330,MX,2024-07-11
72,spotify:track:2btNsI4OvcVl7SAHQQDHFB,"Blessd, Ovy On The Drums",Mírame,WEA Latina,72,127,2,2288585,MX,2024-07-11
73,spotify:track:1uKjQoh8JZj9ryuYRhpd7E,Luis Miguel,Ahora Te Puedes Marchar,WM Mexico,21,112,394,2265752,MX,2024-07-11
74,spotify:track:7AuloEFqtDCrlcPTF2uP9q,Grupo Marca Registrada,La Guerita,"RB Music, Inc. (RB Music/Grupo Marca Registrada)",35,70,10,2234098,MX,2024-07-11
75,spotify:track:4t46soaqA758rbukTO5pp1,Natanael Cano,Mi Bello Angel,WEA Latina,4,77,54,2233829,MX,2024-07-11
76,spotify:track:3kf0WdFOalKWBkCCLJo4mA,Chino Pacas,El Gordo Trae El Mando,Street Mob Records/PFL/Geffen Records,6,71,75,2226436,MX,2024-07-11
77,spotify:track:179TZwPk0txEvjkraVTVKo,Alfredo Olivas,El Precio De La Soledad,Camiolvi,42,97,96,2214991,MX,2024-07-11
78,spotify:track:505v13epFXodT9fVAJ6h8k,KAROL G,AMARGURA,BICHOTA RECORDS / INTERSCOPE RECORDS / UNIVERSAL MUSIC LATINO,38,92,61,2196985,MX,2024-07-11
79,spotify:track:5CE77TLqLjOQ2qgAobzPds,Victor Mendivil,GOET,Rico o Muerto Music LLC,79,91,4,2177282,MX,2024-07-11
80,spotify:track:2CshODtf7iwe3pKlPmEWF5,Junior H,TRES BOTELLAS,WEA Latina,43,73,40,2173713,MX,2024-07-11
81,spotify:track:1uF2sVVCJNWBGSQ2foMWkU,"Peso Pluma, Junior H, Oscar Maydon",ROMPE LA DOMPE,2024 Double P Records,4,62,28,2160331,MX,2024-07-11
82,spotify:track:6Z5k18VPZu4b1IaIQmbecn,Gerardo Ortiz,La Ultima Sombra,Del Records,65,65,2,2136638,MX,2024-07-11
83,spotify:track:6OKhBvddAlWxxFnjbpilhu,Los Enanitos Verdes,La Muralla Verde,Columbia,79,79,31,2135486,MX,2024-07-11
84,spotify:track:4zfQER4owi8q6NL8Gg63Ya,Fuerza Regida,CRAZYZ,Rancho Humilde/Street Mob Records,20,84,34,2123835,MX,2024-07-11
85,spotify:track:7cXGHxIoogqDTvbuLj0dsO,"Grupo Frontera, Maluma",POR QUÉ SERÁ,Grupo Frontera,34,74,9,2115306,MX,2024-07-11
86,spotify:track:6CvTEtGagmzQvkUzzyKR9k,"Fuerza Regida, Marshmello",HARLEY QUINN,Rancho Humilde/Street Mob Records,1,82,38,2100803,MX,2024-07-11
87,spotify:track:2qSkIjg1o9h3YT9RAgYN75,Sabrina Carpenter,Espresso,Island Records,70,83,12,2096396,MX,2024-07-11
88,spotify:track:2eCJD7rEAjSt5zdV76qumQ,"Victor Mendivil, Yng Lvcas",Tony Montana,Rico o Muerto Music LLC,58,81,11,2095535,MX,2024-07-11
89,spotify:track:1sXr6moCwVxwKEgSPxhVvF,"Calle 24, Chino Pacas",Apaga El Cel,Street Mob Records,8,85,28,2089787,MX,2024-07-11
90,spotify:track:0OEBOJhSObnFuHuasXdt52,Shakira,Dia de Enero,Epic,78,89,65,2087498,MX,2024-07-11
91,spotify:track:1haJsMtoBhHfvuM7XWuT3W,"Junior H, Peso Pluma",El Azul,WEA Latina,3,88,74,2047218,MX,2024-07-11
92,spotify:track:2yzshFeBIwH8tWIqHEFLeD,"Grupo Frontera, Bad Bunny",un x100to,Grupo Frontera,2,102,65,2042401,MX,2024-07-11
93,spotify:track:54zcJnb3tp9c5OVKREZ1Is,KAROL G,MI EX TENÍA RAZÓN,Bichota/Interscope Records,13,107,48,1984363,MX,2024-07-11
94,spotify:track:46FdwGMcgz6gik4RCpWBAW,"Oscar Maydon, El Padrinito Toys",Los Collares,Rancho Humilde,13,136,92,1978166,MX,2024-07-11
95,spotify:track:1IzGf1RLpHuImi5lsCD3T9,Duelo,Puño De Diamantes,LA BONITA MUSIC,87,119,45,1974047,MX,2024-07-11
96,spotify:track:2MN6yVBtbTvATWMuNI0SQW,Xavi,OOTD,Interscope Records,96,116,2,1972546,MX,2024-07-11
97,spotify:track:71V6u8mPSydvEokO7XYqG6,Alfredo Olivas,El Vals Del Olvido,Camiolvi,57,117,91,1959472,MX,2024-07-11
98,spotify:track:100Tm6z29RfHTdUQ6NIs0s,Julieta Venegas,Me Voy,Ariola,94,157,27,1952820,MX,2024-07-11
99,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,1,93,117,1944143,MX,2024-07-11
100,spotify:track:2UAE43Y8K321CDAbnIXDD0,"Banda MS de Sergio Lizárraga, Alfredo Olivas",Tengo Claro,Lizos Music,100,-1,1,1915370,MX,2024-07-11
101,spotify:track:3QQAeMQbbjZXVFbF8DgFWT,"Oscar Ortiz, Edgardo Nuñez",FIRST LOVE,"Badsin Records, LLC",3,100,29,1899577,MX,2024-07-11
102,spotify:track:0fea68AdmYNygeTGI4RC18,"J Balvin, Bad Bunny",LA CANCIÓN,Universal Music Latino / Rimas,1,128,263,1872823,MX,2024-07-11
103,spotify:track:14k3Rb7Xgte9fsndjdenmq,"Kany García, Carin Leon",Te Lo Agradezco,5020 Records,57,99,49,1856246,MX,2024-07-11
104,spotify:track:4EAhDuoqyRtV4WiuN49OUe,"Los Buitres De Culiacan Sinaloa, El Movimiento Alterado, Bukanas De Culiacan, El Komander, Los Buchones de Culiacan, Los 2 Primos, Erik Estrada, Noel Torres, Rogelio Martinez, Los Nuevos Elegantes, Oscar Garcia",Sanguinarios Del M1,La Disco Music,96,96,2,1855068,MX,2024-07-11
105,spotify:track:6mmPpaltUZK7xjNlBPQQ0p,"Rauw Alejandro, Chencho Corleone",Desesperados,Sony Music Latin/Duars Entertainment,3,101,108,1853320,MX,2024-07-11
106,spotify:track:31REg67eoHJSvMLUcEmGNj,La Arrolladora Banda El Limón De Rene Camacho,El Final De Nuestra Historia,Universal Music Mexico,93,109,56,1849364,MX,2024-07-11
107,spotify:track:4Nf5EZ40JenjMUKXOiyRU5,Peso Pluma,NUEVA VIDA,Double P Records,35,95,55,1847251,MX,2024-07-11
108,spotify:track:0KAqMRUSZwzG3dZLdDA4eH,Shakira,Antologia,Epic,103,104,17,1840495,MX,2024-07-11
